역명,역주소
월곡,서울특별시 성북구 월곡로 지하107 (하월곡동)
상월곡,서울특별시 성북구 화랑로 지하157 (상월곡동)
돌곶이,서울특별시 성북구 화랑로 지하243 (석관동)
석계,서울특별시 노원구 화랑로 지하347-1 (월계동)
태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동)
화랑대,서울특별시 노원구 화랑로 지하510
봉화산,서울특별시 중랑구 신내로 지하232 (신내동)
신내,서울특별시 중랑구 용마산로136길 33
장암,경기도 의정부시 동일로 121 (장암동)
도봉산,서울특별시 도봉구 도봉로 964-40 (도봉동)
수락산,서울특별시 노원구 동일로 지하1662 (상계동)
마들,서울특별시 노원구 동일로 지하1530-1 (상계동)
노원,서울특별시 노원구 상계로 69-1 (상계동)
중계,서울특별시 노원구 동일로 지하1308-1 (중계동)
하계,서울특별시 노원구 동일로 지하1196 (하계동)
공릉,서울특별시 노원구 동일로 지하1074
태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동)
먹골,서울특별시 중랑구 동일로 지하901 (묵동)
중화,서울특별시 중랑구 동일로 지하797 (중화동)
상봉,서울특별시 중랑구 망우로 지하 297
면목,서울특별시 중랑구 면목로 지하407(면목동 / 면목역)
사가정,서울특별시 중랑구 사가정로 지하393 (면목동)
용마산,서울특별시 중랑구 용마산로 지하227 (면목동)
중곡,서울특별시 광진구 능동로 지하417 (중곡동)
군자,서울특별시 광진구 천호대로 지하550
어린이대공원,서울특별시 광진구 능동로 지하210 (화양동)
건대입구,서울특별시 광진구 능동로110(화양동6-3)
뚝섬유원지,서울특별시 광진구 능동로 10 (자양동)
청담,서울특별시 강남구 학동로 지하508 (청담동)
강남구청,서울특별시 강남구 학동로 지하346 (삼성동)
학동,서울특별시 강남구 학동로 지하180 (논현동)
논현,서울특별시 강남구 학동로 지하102(논현동)
반포,서울특별시 서초구 신반포로 지하241(잠원동)
고속터미널,서울특별시 서초구 신반포로 지하 188 (반포동)
내방,서울특별시 서초구 서초대로 지하103 (방배동)
이수,서울특별시 동작구 사당로 지하310 (사당동)
남성,서울특별시 동작구 사당로 지하218 (사당동)
숭실대입구,서울특별시 동작구 상도로 지하 378
상도,서울특별시 동작구 상도로 지하272 (상도1동)
장승배기,서울특별시 동작구 상도로 지하188 (상도동)
신대방삼거리,서울특별시 동작구 상도로 지하76 (대방동) 
보라매,서울특별시 동작구 상도로 지하2 (대방동)
신풍,서울특별시 영등포구 신풍로 지하27 (신길동)
대림,서울특별시 영등포구 도림로 지하137
남구로,서울특별시 구로구 도림로 지하7 (구로동)
가산디지털단지,서울특별시 금천구 벚꽃로 309 (가산동)
철산,경기도 광명시 철산로 지하13 (철산동)
광명사거리,경기도 광명시 오리로 지하980(광명동)
천왕,서울특별시 구로구 오리로 지하1154(오류동)
온수,서울특별시 구로구 경인로3길 지하64 (온수동)
까치울,경기도 부천시 길주로 626 
부천종합운동장,경기도 부천시 길주로 지하 502 
춘의,경기도 부천시 길주로 지하 406 
신중동,경기도 부천시 길주로 314 
부천시청,경기도 부천시 길주로 202 
상동,경기도 부천시 길주로 104 
삼산체육관,인천광역시 부평구 길주로 지하713 (삼산동)
굴포천,인천광역시 부평구 길주로 지하623 (삼산동)
부평구청,인천광역시 부평구 길주로 지하527(갈산동)
암사,서울특별시 강동구 올림픽로 지하776 (암사동)
천호,서울특별시 강동구 천호대로 지하997 (천호동)
강동구청,서울특별시 강동구 올림픽로 지하550 (성내동)
몽촌토성,서울특별시 송파구 올림픽로 지하383
잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동)
석촌,서울특별시 송파구 송파대로 지하439 (석촌동)
송파,서울특별시 송파구 송파대로 지하354 (가락동)
가락시장,서울특별시 송파구 송파대로 지하 257 (가락동)
문정,서울특별시 송파구 송파대로 지하179 (문정동)
장지,서울특별시 송파구 송파대로 지하82 (장지동)
복정,서울특별시 송파구 송파대로 지하6 (장지동)
산성,경기도 성남시 수정구 수정로 지하365(신흥동)
남한산성입구,경기도 성남시 수정구 산성대로 지하 445
단대오거리,경기도 성남시 수정구 산성대로 지하365 (신흥동)
신흥,경기도 성남시 수정구 산성대로 지하280 (신흥동)
수진,경기도 성남시 수정구 산성대로 지하200 (수진동)
모란,경기도 성남시 수정구 산성대로 지하100 (수진동)
언주,서울특별시 강남구 봉은사로 지하 201
선정릉,서울특별시 강남구 선릉로 지하 580
삼성중앙,서울특별시 강남구 봉은사로 지하 501
봉은사,서울특별시 강남구 봉은사로 지하 601
종합운동장,서울특별시 송파구 올림픽로 지하 23 (잠실동)
삼전,서울특별시 송파구 백제고분로 187
석촌고분,서울특별시 송파구 삼학사로 53
석촌,서울특별시 송파구 송파대로 439
송파나루,서울특별시 송파구 오금로 165
한성백제,서울특별시 송파구 위례성대로 51
올림픽공원,서울특별시 송파구 양재대로 1233
둔촌오륜,서울특별시 송파구 강동대로 327
중앙보훈병원,서울특별시 강동구 명일로 117
